id,Evakuasi,kor_lat,kor_lon,Alamat_ID,Alamat_EN
124,Gereja Mawar Sharon Surabaya,-7.27,112.738,"Gereja Mawar Sharon, Jalan Cempaka, RW 03, Tegalsari, Surabaya, Jawa Timur, Jawa, 60262, Indonesia","Gereja Mawar Sharon, Jalan Cempaka, RW 03, Tegalsari, Surabaya, East Java, Java, 60262, Indonesia"
125,Masjid Roudlotul falah Sby,-7.243,112.723,"Gang Dupak V, RW 06, Jepara, Bubutan, Surabaya, Jawa Timur, Jawa, 60176, Indonesia","Gang Dupak V, RW 06, Jepara, Bubutan, Surabaya, East Java, Java, 60176, Indonesia"
126,Masjid Roudlotul Ulum  Dupak Baru,-7.242,112.722,"Jalan Dupak Baru III, RW 05, Jepara, Bubutan, Surabaya, Jawa Timur, Jawa, 60176, Indonesia","Jalan Dupak Baru III, RW 05, Jepara, Bubutan, Surabaya, East Java, Java, 60176, Indonesia"
127,Masjid Al-Hilal,-7.238,112.722,"Masjid Al Ishlah, Jalan Purwodadi Raya, RW 04, Jepara, Bubutan, Surabaya, Jawa Timur, Jawa, 60176, Indonesia","Masjid Al Ishlah, Jalan Purwodadi Raya, RW 04, Jepara, Bubutan, Surabaya, East Java, Java, 60176, Indonesia"
128,Balai RW VII Kel. Jepara,-7.244,112.729,"Jalan Dupak Timur III, RW 08, Jepara, Bubutan, Surabaya, Jawa Timur, Jawa, 60172, Indonesia","Jalan Dupak Timur III, RW 08, Jepara, Bubutan, Surabaya, East Java, Java, 60172, Indonesia"
129,Grand Empire Palace Hotel,-7.258,112.734,"The Empire Palace, No. 57-75, Jalan Blauran I, RW 01, Genteng, Surabaya, Jawa Timur, Jawa, 60272, Indonesia","The Empire Palace, No. 57-75, Jalan Blauran I, RW 01, Genteng, Surabaya, East Java, Java, 60272, Indonesia"
130,SMPN 4 Surabaya,-7.257,112.736,"DoubleTree by Hilton Surabaya, 12, Jalan Tunjungan, RW 01, Genteng, Surabaya, Jawa Timur, Jawa, 60275, Indonesia","DoubleTree by Hilton Surabaya, 12, Jalan Tunjungan, RW 01, Genteng, Surabaya, East Java, Java, 60275, Indonesia"
131,Perum Perhutsni divisi Regional Jawa Timur,-7.257,112.743,"Jalan Genteng Kali, RW 11, Genteng, Surabaya, Jawa Timur, Jawa, 60274, Indonesia","Jalan Genteng Kali, RW 11, Genteng, Surabaya, East Java, Java, 60274, Indonesia"
132,PT Pupuk Indonesia wilayah 3A Jatim,-7.256,112.742,"Jalan Genteng Kali, RW 07, Genteng, Surabaya, Jawa Timur, Jawa, 60275, Indonesia","Jalan Genteng Kali, RW 07, Genteng, Surabaya, East Java, Java, 60275, Indonesia"
133,UPT TAMAN BUDAYA JATIM,-7.256,112.74,"Jalan Genteng Kali, RW 06, Genteng, Surabaya, Jawa Timur, Jawa, 60275, Indonesia","Jalan Genteng Kali, RW 06, Genteng, Surabaya, East Java, Java, 60275, Indonesia"
134,Hotel platinum Tunjungan Sby,-7.257,112.739,"RW 05, Genteng, Surabaya, Jawa Timur, Jawa, 60275, Indonesia","RW 05, Genteng, Surabaya, East Java, Java, 60275, Indonesia"
135,Hotel Paviljoen,-7.259,112.741,"Jalan Genteng Besar, RW 10, Genteng, Surabaya, Jawa Timur, Jawa, 60275, Indonesia","Jalan Genteng Besar, RW 10, Genteng, Surabaya, East Java, Java, 60275, Indonesia"
