id,Evakuasi,kor_lat,kor_lon,alamat
67,Konsulat Republik Federal Jerman,-7.283,112.739,"Jalan Doktor Wahidin No.29, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
68,Graha Wismilak,-7.282,112.74,"PP9R+62R Wismilak, DR. Soetomo, Tegalsari, Surabaya, East Java 60264"
69,Laboratorium Klinik Biotest,-7.277,112.732,"Jl. R.A Kartini No.78, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
70,Musholla SMPN 10 Surabaya,-7.278,112.733,"Jl. Kupang Segunting VI No.42, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
71,Lembaga Ilmu Pengetshuan Islam & Arab cbg Surabaya (LIPIA SBY),-7.281,112.733,"Jl. Diponegoro No.150, RT.002/RW.15, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
72,House of Bikers Surabaya,-7.282,112.733,"Jl. Diponegoro No.142, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
73,Persatuan Karya Dharma Kesehatan Indonesia,-7.283,112.734,"RSK St. Vincentius A Paulo, JL Diponegoro, No 51, DR. Soetomo, Surabaya, Jawa Timur 60241"
74,SDN Dr. Soetomo V,-7.286,112.735,"Jl. Trunojoyo No.84 001, RT.001/RW.19, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
75,REGANTRIS HOTEL SURABAYA,-7.284,112.735,"Jl. Dr. Soetomo No.79-81, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
76,PT JASA RAHARJA KANWIL JAWA TIMUR,-7.285,112.734,"Jl. Diponegoro No.98, RT.002/RW.15, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
77,Yayasan Mardiwijana,-7.284,112.735,"Jl. Trunojoyo No.69, RT.001/RW.19, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
78,Oud Soerabaja Eclectisch huis in de Gemeente,-7.286,112.737,"Jl. Taman Bintoro No.2, RT.004/RW.19, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
79,MOOI House,-7.286,112.737,"Jl. Untung Suropati No.101, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
80,Rumah sakit Yayasan darus Safa,-7.286,112.737,"Jl. Untung Suropati No.99, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
81,Majelis taklim & Salat Jumat  Mercure Grand Mirama,-7.285,112.738,"Jl. Ronggolawe No.10-12, RT.000/RW.00, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
82,TOBY'S ESTETATE-Imam Bonjol,-7.285,112.738,"Jl. Imam Bonjol No.119, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
84,Puncak Nirwana,-7.284,112.739,"Jl. Ronggolawe R No.8, RT.002/RW.20, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
85,komp. darmo Square,-7.283,112.74,"DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
86,OMA ESTATE,-7.284,112.739,"Jl. Ronggolawe No.19, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
87,LAN HOA Restaurant Mercure Surabaya,-7.284,112.74,"Jl. Raya Darmo No.68 - 78, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
88,Dit Pamobvit Polda Jatim,-7.283,112.737,"Jl. Dr. Soetomo No.82, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
89,kantor Dewan Pengurus yayasan Yohannes Gabriel,-7.282,112.737,"Jl. M.H. Thamrin No.29-31, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
90,MOTE Training Center,-7.281,112.738,"Jalan Doktor Wahidin No.1, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
91,C2O library & Collabtive,-7.282,112.739,"Jalan Doktor Cipto No.22, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
92,PT Sentratek Metalindo,-7.281,112.739,"Jalan Doktor Cipto No.:05, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
93,PT. ASIA PRIMA KONJAC,-7.28,112.739,"Jl. R.A Kartini No.35, RT.007/RW.11, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
94,Edlink Surabaya,-7.28,112.738,"Jl. R.A Kartini No.39, RW.41, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
95,kristus kasih tabernacle pentecostal church,-7.28,112.739,"Jl. WR. Supratman No.4, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
96,gedung serbaguna keuskupan Surabaya,-7.28,112.739,"Jl. WR. Supratman No.4, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
97,Bukit Welirang Indah. PT,-7.28,112.74,"JL Raya Darmo No. 23-25, Surabaya, 60189, DR. Soetomo, Tegalsari, Surabaya, East Java 60264"
98,PT. Bintang Mas Glassolutions Surabaya,-7.28,112.736,"Jl. WR. Supratman No.58, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
99,Rehabilitas Medik dan Akupuntur Imam Bonjol,-7.279,112.735,"Jl. Imam Bonjol No.47, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
100,petra 1 Christian primary School WR Supratman Sby,-7.279,112.736,"Jl. WR. Supratman No.46, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
101,BSI UMKM Centre Surabaya,-7.279,112.734,"Jl. R.A Kartini No.107-109, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
102,Kharisma sejahtera daihatsu Surabaya,-7.279,112.731,"Jl. Diponegoro No.170, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264"
103,Metro Hotel,-7.267,112.733,"Jl. Kedungsari No.109, Wonorejo, Kec. Tegalsari, Surabaya, Jawa Timur 60263"
104,Best Hotel surabaya,-7.268,112.735,"Jl. Kedungsari No.29, Wonorejo, Kec. Tegalsari, Surabaya, Jawa Timur 60263"
105,Perusahaan AKI HYBRID,-7.267,112.731,"Jl. Wonorejo I No.95, Wonorejo, Kec. Tegalsari, Surabaya, Jawa Timur 60263"
106,Pasar Kembang,-7.271,112.729,"Jl. Pasar Kembang, Wonorejo, Kec. Tegalsari, Surabaya, Jawa Timur 60263"
107,JW Marriott Hotel Surabaya,-7.26,112.735,"Jl. Embong Malang No.85-89, Kedungdoro, Kec. Tegalsari, Surabaya, Jawa Timur 60261"
108,Masjid Baiturrahman JW Marriott,-7.26,112.735,"Jl. Kedung Turi II No.16, Kedungdoro, Kec. Tegalsari, Surabaya, Jawa Timur 60261"
109,Amaris Hotel Embong Malang Surabaya,-7.259,112.734,"Jl. Kedung Doro No.1-3, Kedungdoro, Kec. Tegalsari, Surabaya, Jawa Timur 60261"
110,Sheraton Surabaya Hotel & Towers,-7.263,112.739,"Jl. Embong Malang No.25-31, Kedungdoro, Kec. Tegalsari, Surabaya, Jawa Timur 60261"
